"symbolid","pricedatetime","open","high","low","close"
900745,2017-12-24,1.186,1.1863,1.18173,1.1857
900745,2017-12-25,1.18567,1.1902,1.18532,1.1868
900745,2017-12-26,1.18688,1.18792,1.1845,1.1873
900745,2017-12-27,1.18744,1.1919,1.1863,1.1917
900745,2017-12-28,1.19175,1.1959,1.1915,1.19443
900745,2017-12-29,1.1998,1.20069,1.1991,1.2003
900745,2017-12-31,1.2001,1.2007,1.2001,1.2007
900745,2018-01-01,1.1999,1.2024,1.19912,1.20173
900745,2018-01-02,1.20172,1.20811,1.2014,1.20508
900745,2018-01-03,1.205,1.20605,1.20009,1.20177
900745,2018-01-04,1.20176,1.20889,1.2013,1.2074
900745,2018-01-05,1.20419,1.20446,1.2027,1.20393
900745,2018-01-07,1.2027,1.20522,1.2021,1.20253
900745,2018-01-08,1.20251,1.2029,1.1955,1.1968
900745,2018-01-09,1.19648,1.19709,1.1915,1.19358
900745,2018-01-10,1.19359,1.20183,1.1922,1.19468
900745,2018-01-11,1.19469,1.20665,1.1929,1.2053
900745,2018-01-12,1.21871,1.22186,1.2186,1.21981
900745,2018-01-14,1.21921,1.2212,1.2186,1.22102
900745,2018-01-15,1.22152,1.22966,1.22,1.2267
900745,2018-01-16,1.22669,1.23231,1.2194,1.22493
900745,2018-01-17,1.22495,1.22879,1.21628,1.21946
900745,2018-01-18,1.21947,1.227,1.2186,1.22623
900745,2018-01-19,1.22208,1.22337,1.2214,1.22151
900745,2018-01-21,1.22693,1.22722,1.2215,1.2224
900745,2018-01-22,1.22574,1.2276,1.2223,1.22592
900745,2018-01-23,1.22594,1.23353,1.2222,1.23214
900745,2018-01-24,1.23213,1.24399,1.2302,1.2436
900745,2018-01-25,1.24357,1.25376,1.23636,1.24213
900745,2018-01-26,1.24197,1.24321,1.2417,1.24279
900745,2018-01-28,1.2426,1.24321,1.2384,1.24127
900745,2018-01-29,1.23985,1.2404,1.2336,1.23712
900745,2018-01-30,1.23716,1.24539,1.23345,1.24184
900745,2018-01-31,1.24195,1.24747,1.2386,1.24215
900745,2018-02-01,1.24215,1.25232,1.2385,1.24931
900745,2018-02-02,1.24613,1.24628,1.245,1.24553
900745,2018-02-04,1.2437,1.24665,1.2423,1.2459
900745,2018-02-05,1.24589,1.2475,1.235,1.2356
900745,2018-02-06,1.23561,1.24348,1.2313,1.2388
900745,2018-02-07,1.2388,1.24062,1.2245,1.22586
900745,2018-02-08,1.22584,1.22949,1.22115,1.22536
900745,2018-02-09,1.22348,1.22549,1.2231,1.22509
900745,2018-02-11,1.2248,1.22973,1.22398,1.22864
900745,2018-02-12,1.22866,1.23072,1.2234,1.2301
900745,2018-02-13,1.2302,1.23922,1.2298,1.2377
900745,2018-02-14,1.23771,1.24731,1.2275,1.24563
900745,2018-02-15,1.24654,1.25552,1.24568,1.25481
